,Datetime,Open,Close,High,Low,Adj Close,Volume,Gain,Loss,Average Gain,Average Loss,Relative Strength,Relative Strength Index
0,2024-10-08 09:15:00+05:30,86.68000031,87.5,88.36000061,86.48999786,87.5,0,0,0,0,0,,
1,2024-10-08 09:16:00+05:30,87.5,89.09999847,89.30000305,87.11000061,89.09999847,2522767,2.419998169,0,0,0,,
2,2024-10-08 09:17:00+05:30,89.04000092,89.55000305,89.62999725,88.51000214,89.55000305,1981862,2.050003052,0,0,0,,
3,2024-10-08 09:18:00+05:30,89.62999725,89.90000153,90.25,89.62999725,89.90000153,1691744,0.86000061,0,0,0,,
4,2024-10-08 09:19:00+05:30,89.80000305,90.01000214,90.27999878,89.62000275,90.01000214,1183251,0.380004883,0,0,0,,
5,2024-10-08 09:20:00+05:30,89.90000153,90.83999634,90.84999847,89.90000153,90.83999634,1127807,1.039993286,0,0,0,,
6,2024-10-08 09:21:00+05:30,90.73999786,90.40000153,90.80999756,90.40000153,90.40000153,350897,0.5,0,0,0,,
7,2024-10-08 09:22:00+05:30,92.01999664,92.77999878,93.29000092,92.01999664,92.77999878,3357563,2.040000916,0,0,0,,
8,2024-10-08 09:23:00+05:30,93,92.86000061,93,92.86000061,92.86000061,211781,0.840003967,0,0,0,,
9,2024-10-08 09:24:00+05:30,92.55000305,91.58999634,92.68000031,91.48000336,91.58999634,1883651,0,1.410003662,0,0,,
10,2024-10-08 09:25:00+05:30,91.55000305,92.26999664,92.26999664,91.43000031,92.26999664,404699,0,0.280006409,0,0,,
11,2024-10-08 09:26:00+05:30,92.69999695,92.73999786,92.94999695,92.55999756,92.73999786,1261584,1.189994812,0,0,0,,
12,2024-10-08 09:27:00+05:30,92.66999817,91.98999786,92.66999817,91.98999786,91.98999786,313733,0,0.709999084,0,0,,
13,2024-10-08 09:28:00+05:30,91.34999847,92.08000183,92.12999725,91.34999847,92.08000183,1009873,0,0.589996338,0,0,,
14,2024-10-08 09:29:00+05:30,92.09999847,92.12000275,92.12000275,92.01000214,92.12000275,54865,0.770004272,0,0.863571712,0.213571821,4.043472159,80.17238981
