Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-30 09:15:00+05:30,53528.60156,53716.25,53520.89844,53585.35156,53585.35156,0
2024-09-30 09:17:00+05:30,53585.10156,53590.30078,53549.19922,53551.85156,53551.85156,0
2024-09-30 09:19:00+05:30,53556.25,53581.14844,53517.85156,53525.25,53525.25,0
2024-09-30 09:21:00+05:30,53524.80078,53532.44922,53481.14844,53497.30078,53497.30078,0
2024-09-30 09:23:00+05:30,53487.30078,53533.60156,53485.5,53532.14844,53532.14844,0
2024-09-30 09:25:00+05:30,53529.10156,53543.64844,53503.64844,53516,53516,0
2024-09-30 09:27:00+05:30,53516.14844,53519.80078,53489.14844,53493.05078,53493.05078,0
2024-09-30 09:29:00+05:30,53495.14844,53532.10156,53452.44922,53458.10156,53458.10156,0
2024-09-30 09:31:00+05:30,53461.05078,53494,53454.89844,53480.80078,53480.80078,0
2024-09-30 09:33:00+05:30,53480.69922,53485.64844,53447.94922,53471.44922,53471.44922,0
2024-09-30 09:35:00+05:30,53470.35156,53481.64844,53460.19922,53466.44922,53466.44922,0
2024-09-30 09:37:00+05:30,53469.44922,53470.25,53415,53431.25,53431.25,0
2024-09-30 09:39:00+05:30,53435.14844,53443.30078,53390.94922,53392.55078,53392.55078,0
2024-09-30 09:41:00+05:30,53396.19922,53396.35156,53352.60156,53365.64844,53365.64844,0
2024-09-30 09:43:00+05:30,53368.25,53378.89844,53348,53375.35156,53375.35156,0
2024-09-30 09:45:00+05:30,53374.05078,53381.89844,53311.80078,53311.80078,53311.80078,0
2024-09-30 09:47:00+05:30,53315.69922,53317.75,53251.80078,53253.14844,53253.14844,0
2024-09-30 09:49:00+05:30,53256.94922,53277,53200.75,53214.94922,53214.94922,0
2024-09-30 09:51:00+05:30,53213.69922,53214.44922,53160.60156,53204.75,53204.75,0
2024-09-30 09:53:00+05:30,53206.85156,53208.25,53110.10156,53149.75,53149.75,0
2024-09-30 09:55:00+05:30,53154.05078,53221.75,53148.39844,53195.64844,53195.64844,0
2024-09-30 09:57:00+05:30,53196.14844,53240,53189.25,53221.30078,53221.30078,0
2024-09-30 09:59:00+05:30,53220.89844,53220.89844,53164.80078,53166.69922,53166.69922,0
2024-09-30 10:01:00+05:30,53166.64844,53261.44922,53156.10156,53261.44922,53261.44922,0
2024-09-30 10:03:00+05:30,53260.55078,53268.89844,53227.60156,53244.44922,53244.44922,0
2024-09-30 10:05:00+05:30,53245.05078,53311.94922,53234.64844,53304.10156,53304.10156,0
2024-09-30 10:07:00+05:30,53307,53313.64844,53277.75,53280.39844,53280.39844,0
